family,genus,species,authority,sp4,sp6,lifeform
Menispermaceae,Hyperbaena,tonduzii,,,HYPETO,NA
Aquifoliaceae,Ilex,guianensis,,,ILEXGU,NA
Fabaceae:Mimos.,Inga,acrocephala,,,INGAAC,NA
Fabaceae:Mimos.,Inga,acuminata,Benth.,INA1,INGAS1,U
Fabaceae:Mimos.,Inga,aff.stenophylla,,,INGAST,NA
Fabaceae:Mimos.,Inga,alba,,,INGAAL,NA
Fabaceae:Mimos.,Inga,bella,,,INGABE,NA
Fabaceae:Mimos.,Inga,capitata,,,INGACA,NA
Fabaceae:Mimos.,Inga,chocoensis,,,INGACH,NA
Fabaceae:Mimos.,Inga,ciliata_ss:ciliata,,,INGACI,NA
Fabaceae:Mimos.,Inga,ciliata_ss:subcapitata,,,INGAC1,NA
Fabaceae:Mimos.,Inga,cocleensis,Pittier,INAC,INGACO,M
Fabaceae:Mimos.,Inga,coruscans,NA,NA,INGAC2,NA
Fabaceae:Mimos.,Inga,dwyeri,,,INGADW,U
Fabaceae:Mimos.,Inga,edulis,,,INGAED,NA
Fabaceae:Mimos.,Inga,filiformis,,,INGAFI,U
Fabaceae:Mimos.,Inga,goldmanii,Pittier,INGO,INGAGO,T
Fabaceae:Mimos.,Inga,jefensis,,,INGAJE,NA
Fabaceae:Mimos.,Inga,laurina,G. Don,INFA,INGAFA,T
Fabaceae:Mimos.,Inga,leiocalycina,,,INGALE,NA
Fabaceae:Mimos.,Inga,marginata,Willd.,INMA,INGAMA,T
Fabaceae:Mimos.,Inga,mortoniana,NA,NA,INGAMO,NA
Fabaceae:Mimos.,Inga,mucuna,Walp. & Duchass.,INM1,INGAM1,T
Fabaceae:Mimos.,Inga,multijuga,Benth.,INM2,INGAM2,T
Fabaceae:Mimos.,Inga,nobilis,Willd.,INQU,INGAQU,M
Fabaceae:Mimos.,Inga,oerstediana,Benth.,INMI,INGAMI,T
Fabaceae:Mimos.,Inga,pauciflora,Walp. & Duchass.,INPA,INGAPA,T
Fabaceae:Mimos.,Inga,pezizifera,Benth.,INPE,INGAPE,T
Fabaceae:Mimos.,Inga,polita,,,INGAP1,NA
Fabaceae:Mimos.,Inga,portobellensis,,,INGAPO,NA
Fabaceae:Mimos.,Inga,punctata,Willd.,INPU,INGAPU,T
Fabaceae:Mimos.,Inga,ruiziana,G. Don,INRU,INGARU,T
Fabaceae:Mimos.,Inga,sapindoides,Willd.,INSA,INGASA,M
Fabaceae:Mimos.,Inga,sertulifera,DC.,ING6,INGASE,U
Fabaceae:Mimos.,Inga,sierrae,,,INGASI,NA
Fabaceae:Mimos.,Inga,sp.11,NA,NA,INGA11,NA
Fabaceae:Mimos.,Inga,sp.15,NA,NA,INGA15,NA
Fabaceae:Mimos.,Inga,sp.18,NA,NA,INGA18,NA
Fabaceae:Mimos.,Inga,sp.24,NA,NA,INGA24,NA
Fabaceae:Mimos.,Inga,sp.31,NA,NA,INGA31,NA
Fabaceae:Mimos.,Inga,sp.32,NA,NA,INGA32,NA
Fabaceae:Mimos.,Inga,sp.34(hoja_peque±a),,,INGA34,NA
Fabaceae:Mimos.,Inga,sp.6,NA,NA,INGA6,NA
Fabaceae:Mimos.,Inga,sp.7,NA,NA,INGA7,NA
Fabaceae:Mimos.,Inga,sp.8,NA,NA,INGA8,NA
Fabaceae:Mimos.,Inga,spectabilis,(Vahl) Willd.,INSP,INGASP,T
Fabaceae:Mimos.,Inga,thibaudiana,DC.,INTH,INGATH,M
Fabaceae:Mimos.,Inga,umbellifera,(Vahl) Steud.,INUM,INGAUM,M
Fabaceae:Mimos.,Inga,urceolata,,,INGAUR,NA
Fabaceae:Mimos.,Inga,venusta,,,INGAV1,NA
Fabaceae:Mimos.,Inga,vera,Willd.,INVE,INGAVE,M
Convolvulaceae,Ipomoea,phillomega,(Vell.) House,IPOP,IPOMPH,LIANA
Convolvulaceae,Ipomoea,squamosa,Choisy,IPOS,IPOMSQ,VINE
Convolvulaceae,Ipomoea,tiliacea,(Willd.) Choisy,IPOT,IPOMTI,VINE
Arecaceae,Iriartea,deltoidea,,,IRIADE,M
Myristicaceae,Iryanthera,juruensis,,,IRYAJU,NA
Myristicaceae,Iryanthera,megistocarpa,,,IRYAME,NA
Convolvulaceae,Iseia,luxurians,(Moric.) ODonell,ISEL,ISEILU,LIANA
Rubiaceae,Isertia,haenkeana,DC.,ISEH,ISERHA,S
Rubiaceae,Isertia,laevis,,,ISERLA,U
Rubiaceae,Ixora,floribunda,,,IXORFL,U
Bignoniaceae,Jacaranda,caucana,Pittier,JAC1,JAC1CA,M
Bignoniaceae,Jacaranda,copaia,(Aubl.) D. Don,JACC,JAC1CO,T
Caricaceae,Jacaratia,costaricensis,,,JAC2CO,NA
Caricaceae,Jacaratia,dolichaula,,,JAC2DO,NA
Caricaceae,Jacaratia,spinosa,(Aubl.) A. DC.,JACS,JAC2SP,T
Theophrastaceae,Jacquinia,macrocarpa,,,JACQMA,NA
Euphorbiaceae,Jatropha,curcas,,,JATRCU,NA
Euphorbiaceae,Jatropha,gossypiifolia,,,JATRGO,NA
Rubiaceae,Joosia,umbellifera,,,JOOSUM,NA
Acanthaceae,Justicia,graciliflora,(Standl.) D.N. Gibson,JUSG,JUSTGR,VINE
Bignoniaceae,Kigelia,africana,,,KIGEAF,NA
Annonaceae,Klarobelia,anomala,,,CREMAN,NA
Asteraceae,Koanophyllon,wetmorei,(B.L. Rob.) R.M. King & H. Rob.,KOAW,KOANWE,S
Flacourtiaceae,Lacistema,aggregatum,(P.J. Bergius) Rusby,LACA,LACIAG,U
Apocynaceae,Lacmellea,panamensis,(Woodson) Markgr.,LACP,LACMPA,M
Apocynaceae,Lacmellea,speciosa,,,LACMSP,M
Rubiaceae,Ladenbergia,brenesii,,,LADEBR,M
Rubiaceae,Ladenbergia,macrocarpa,,,LADEMA,M
Flacourtiaceae,Laetia,procera,(Poepp.) Eichler,LAEP,LAETPR,T
Flacourtiaceae,Laetia,thamnia,L.,LAET,LAETTH,U
Lythraceae,Lafoensia,punicifolia,DC.,LAFP,LAFOPU,T
Lythraceae,Lagerstroemia,speciosa,,,LAGESP,M
Combretaceae,Laguncularia,racemosa,,,LAGURA,T
Verbenaceae,Lantana,camara,L.,LANC,LANTCA,S
Apocynaceae,Laxoplumeria,tessmannii,,,LAXOTE,NA
Melastomataceae,Leandra,roja,,,LEAN1,S
Melastomataceae,Leandra,dichotoma,(D. Don) Cogn.,LEAD,LEANDI,S
Melastomataceae,Leandra,granatensis,,,LEANGR,S
Fabaceae:Papil.,Lecointea,aff.amazonica,,,LECOAM,NA
Lecythidaceae,Lecythis,ampla,,,LECYAM,T
Fabaceae:Papil.,Lennea,viridiflora,,,LENNVI,M
Violaceae,Leonia,glycycarpa,,,LEONGL,M
Chrysobalanaceae,Licania,coba,,,LICA4,NA
Chrysobalanaceae,Licania,affinis,,,LICAAF,T
Chrysobalanaceae,Licania,arborea,,,LICAAR,T
Chrysobalanaceae,Licania,cruegeriana,,,LICACR,T
Chrysobalanaceae,Licania,fasciculata,,,LICAFA,T
Chrysobalanaceae,Licania,hypoleuca,Benth.,LICH,LICAHY,M
Chrysobalanaceae,Licania,kallunkii,,,LICAKA,NA
Chrysobalanaceae,Licania,longistyla,,,LICALO,NA
Chrysobalanaceae,Licania,macrocarpa,,,LICAMA,T
Chrysobalanaceae,Licania,morii,,,LICAMO,T
Chrysobalanaceae,Licania,platypus,(Hemsl.) Fritsch,LICP,LICAPL,T
Chrysobalanaceae,Licania,sp.1,NA,NA,LICA1,NA
Chrysobalanaceae,Licania,sp.3,NA,NA,LICA3,NA
Lauraceae,Licaria,arco_seco,NA,NA,LIC13,NA
Lauraceae,Licaria,excelsa,,,LIC1EX,NA
Lauraceae,Licaria,guianensis,,,LIC1GU,NA
Lauraceae,Licaria,misantlae,,,LIC1MI,NA
Lauraceae,Licaria,sp.2,NA,NA,LIC12,NA
Flacourtiaceae,Lindackeria,laurina,C. Presl,LINL,LINDLA,M
Fabaceae:Papil.,Lonchocarpus,atropurpureus,,,LONCAT,NA
Fabaceae:Papil.,Lonchocarpus,ferruginea,NA,NA,LONCFE,NA
Fabaceae:Papil.,Lonchocarpus,heptaphyllus,(Poir.) DC.,LONL,LONCLA,NA
Fabaceae:Papil.,Lonchocarpus,minimiflorus,NA,NA,LONCMI,NA
Fabaceae:Papil.,Lonchocarpus,oliganthus,,,LONCOL,NA
Fabaceae:Papil.,Lonchocarpus,sericeus,,,LONCSE,NA
Fabaceae:Papil.,Lonchocarpus,velutinus,,,LONCVE,T
Lacistemataceae,Lozania,mutisiana,NA,NA,LOZAMU,NA
Lacistemataceae,Lozania,pittieri,(S.F. Blake) L.B. Sm.,LOZP,LOZAPI,U
Tiliaceae,Luehea,candida,NA,NA,LUEHCA,NA
Tiliaceae,Luehea,seemannii,Triana & Planch.,LUE1,LUEHSE,T
Tiliaceae,Luehea,speciosa,Willd.,LUE2,LUEHSP,T
Flacourtiaceae,Lunania,mexicana,,,LUNAPI,NA
Flacourtiaceae,Lunania,parviflora,,,LUNAPA,NA
Solanaceae,Lycianthes,maxonii,Standl.,LYCM,LYCIMA,S
Euphorbiaceae,Mabea,occidentalis,Benth.,MABO,MABEOC,U
Bignoniaceae,Macfadyena,unguis-cati,(L.) A.H. Gentry,MACU,MACFUN,LIANA
Fabaceae:Papil.,Machaerium,biovulatum,,,MACHBI,U
Fabaceae,Machaerium,floribundum,Benth.,MACF,MACHFL,LIANA
Fabaceae,Machaerium,isadelphum,(E. Mey.) Amshoff,MAC1,MACHM1,LIANA
Fabaceae,Machaerium,kegelii,Meisn.,MACK,MACHKE,LIANA
Fabaceae,Machaerium,milleflorum,Pittier,MAC2,MACHM2,VINE
Fabaceae,Machaerium,pittieri,(Jacq.) Benth.,MACA,MACHAR,LIANA
Fabaceae,Machaerium,riparium,Brandegee,MACR,MACHRI,LIANA
Fabaceae,Machaerium,seemanii,Benth. ex Seem.,MACS,MACHSE,LIANA
Moraceae,Maclura,tinctoria,(L.) D. Don. ex Steud.,CHLT,MACLTI,NA
Apocynaceae,Macoubea,mesoamericana,,,MACOSP,NA
Rubiaceae,Macrocnemum,roseum,(Ruiz & Pav.) Wedd.,MACG,MACRGL,M
Fabaceae:Caesal.,Macrolobium,costaricense,,,MAC1CO,NA
Fabaceae:Caesal.,Macrolobium,pittieri,,,MAC1PI,U
Magnoliaceae,Magnolia,sororum,NA,NA,MAGNSO,NA
Annonaceae,Malmea,dimera,,,MALMDI,U
Apocynaceae,Malouetia,guatemalensis,(Müll. Arg.) Standl.,MALG,MALOGU,U
Malpighiaceae,Malpighia,albiflora,,,MALPAL,S
Malpighiaceae,Malpighia,glabra,NA,NA,MALPGL,NA
Malpighiaceae,Malpighia,romeroana,Cuatrec.,MALR,MALPRO,S
Clusiaceae,Mammea,immansueta,,,MAMMIM,M
Apocynaceae,Mandevilla,subsagittata,NA,NA,MANDSU,LIANA
Apocynaceae,Mandevilla,villosa,(Miers) Woodson,MANV,MANDVI,VINE
Anacardiaceae,Mangifera,indica,L.,MANI,MANGIN,M
Euphorbiaceae,Manihot,esculenta,,,MAN1ES,NA
Sapotaceae,Manilkara,bidentata,(A. DC.) A. Chev.,MANB,MANIBI,T
Sapotaceae,Manilkara,chicle,NA,NA,MANICH,NA
Sapotaceae,Manilkara,sp.1,NA,NA,MANI1,NA
Sapotaceae,Manilkara,sp.2,NA,NA,MANI2,NA
Sapotaceae,Manilkara,zapota,,,MANIZA,T
Bignoniaceae,Mansoa,kerere,(Aubl.) A.H. Gentry,PACK,MANSKE,LIANA
Bignoniaceae,Mansoa,verrucifera,(Schltdl.) A.H. Gentry,ONOV,MANSVE,LIANA
Euphorbiaceae,Maprounea,guianensis,,,MAPRGU,T
Moraceae,Maquira,guianensis,Aubl.,MAQC,MAQUCO,M
Chrysobalanaceae,Maranthes,panamensis,(Standl.) Prance & F. White,MAR3,MARAPA,T
Marcgraviaceae,Marcgravia,nepenthoides,Seem.,MAR1,MARCNE,LIANA
Euphorbiaceae,Margaritaria,nobilis,L. f.,MAR2,MARGNO,U
Clusiaceae,Marila,domingensis,,,MAR1DO,M
Clusiaceae,Marila,lactogena,,,MAR1L1,M
Clusiaceae,Marila,laxiflora,Rusby,MARL,MAR1LA,M
Clusiaceae,Marila,pluricostata,,,MAR1PL,M
Clusiaceae,Marila,sp.1,NA,NA,MAR11,NA
Clusiaceae,Marila,sp.3,NA,NA,MAR13,NA
Convolvulaceae,Maripa,panamensis,Hemsl.,MARP,MAR2PA,LIANA
Solanaceae,Markea,ulei,NA,NA,MARKUL,LIANA
Asclepiadaceae,Marsdenia,crassipes,Hemsl.,MARC,MARSCR,LIANA
Bignoniaceae,Martinella,obovata,(Kunth) Bureau & K. Schum.,MARO,MARTOB,LIANA
Malpighiaceae,Mascagnia,hiraea,(Gaertn.) Fawc. & Rendle,MASH,MASCHI,LIANA
Malpighiaceae,Mascagnia,ovatifolia,(Kunth) Griseb.,MASN,MASCNE,LIANA
Malpighiaceae,Mascagnia,sp. 1,NA,NA,MASC1,LIANA
Sapindaceae,Matayba,apetala,(Macfad.) Radlk.,MATA,MATAAP,M
Sapindaceae,Matayba,glaberrima,,,MATAGL,U
Sapindaceae,Matayba,scrobiculata,(Kunth) Radlk.,MATS,MATASC,M
Sapindaceae,Matayba,sp.1,NA,NA,MATA1,NA
Bombacaceae,Matisia,aff.idroboi,,,MATIID,NA
Bombacaceae,Matisia,bracteolosa,,,MATIBR,NA
Bombacaceae,Matisia,cordata,,,MATICO,NA
Bombacaceae,Matisia,exalata,,,MATIEX,NA
Bombacaceae,Matisia,jefensis,,,MATIJE,NA
Bombacaceae,Matisia,obliquifolia,,,QUAROB,M
Bombacaceae,Matisia,ochrocalyx,NA,NA,MATIOC,NA
Bombacaceae,Matisia,sanblasensis,,,MATISA,T
Flacourtiaceae,Mayna,grandifolia,,,MAYNGR,U
Flacourtiaceae,Mayna,odorata,,,MAYNOD,U
Celastraceae,Maytenus,schippii,Lundell,MAYS,MAYTSC,M
Celastraceae,Maytenus,sp.1,NA,NA,MAYT1,NA
Sapindaceae,Melicoccus,bijugatus,,,MEL2BI,NA
Sabiaceae,Meliosma,grandifolia,,,MELIG1,NA
Sabiaceae,Meliosma,glabrata,,,MELIGL,NA
Sabiaceae,Meliosma,grandiflora,,,MELIGR,NA
Sabiaceae,Meliosma,idiopoda,,,MELIID,NA
Sabiaceae,Meliosma,linearifolia,,,MELILI,NA
Sabiaceae,Meliosma,occidentalis,,,MELIOC,NA
Acanthaceae,Mendoncia,gracilis,Turrill,MENG,MENDGR,VINE
Acanthaceae,Mendoncia,litoralis,Leonard,MENL,MENDLI,VINE
Apocynaceae,Mesechites,trifida,(Jacq.) Müll. Arg.,MEST,MESETR,LIANA
Asclepiadaceae,Metalepis,peraffinis,(Woodson) Morillo,CYNC,CYNACU,VINE
Melastomataceae,Miconia,affinis,DC.,MIC1,MICOAF,U
Melastomataceae,Miconia,argentea,(Sw.) DC.,MIC2,MICOAR,M
Melastomataceae,Miconia,centronioides,,,MICOCE,NA
Melastomataceae,Miconia,centrosperma,,,MICOC1,NA
Melastomataceae,Miconia,chrysophylla,,,MICOCH,U
Melastomataceae,Miconia,crocata,,,MICOCR,NA
Melastomataceae,Miconia,dodecandra,,,MICOD1,NA
Melastomataceae,Miconia,donaeana,,,MICOD2,NA
Melastomataceae,Miconia,dorsiloba,Gleason,MICD,MICODO,S
Melastomataceae,Miconia,elata,(Sw.) DC.,MICE,MICOEL,U
Melastomataceae,Miconia,hondurensis,Donn. Sm.,MICH,MICOHO,U
Melastomataceae,Miconia,impetiolaris,(Sw.) D. Don ex DC.,MICI,MICOIM,U
Melastomataceae,Miconia,lacera,(Bonpl.) Naudin,MIC3,MICOLA,NA
Melastomataceae,Miconia,ligulata,Almeda,MIC8,MICOLI,S
Melastomataceae,Miconia,minutiflora,(Bonpl.) DC.,MICB,MICOBO,M
Melastomataceae,Miconia,multispicata,,,MICOMU,NA
Melastomataceae,Miconia,nervosa,(Sm.) Triana,MICN,MICONE,S
Melastomataceae,Miconia,oinochrophylla,,,MICOOI,NA
Melastomataceae,Miconia,pileata,,,MICOPI,NA
Melastomataceae,Miconia,poeppigii,,,MICOPO,T
Melastomataceae,Miconia,prasina,(Sw.) DC.,MICP,MICOPR,U
Melastomataceae,Miconia,punctata,,,MICOPU,NA
Melastomataceae,Miconia,reducens,,,MICORE,NA
Melastomataceae,Miconia,rubiginosa,,,MICORU,NA
Melastomataceae,Miconia,serrulata,(DC.) Naudin,MIC6,MICOSE,U
Melastomataceae,Miconia,simplex,Triana,MIC9,MICOSI,S
Melastomataceae,Miconia,sp.10,NA,NA,MICO10,NA
Melastomataceae,Miconia,sp.14,NA,NA,MICO14,NA
Melastomataceae,Miconia,sp.3,NA,NA,MICO3,NA
Melastomataceae,Miconia,sp.5,NA,NA,MICO5,NA
Melastomataceae,Miconia,sp.9,NA,NA,MICO9,NA
Melastomataceae,Miconia,stenostachya,,,MICOST,NA
Melastomataceae,Miconia,trinervia,,,MICOTR,M
Melastomataceae,Miconia,umbriensis,,,MICOUM,NA
Sapotaceae,Micropholis,guyanensis,,,MICRGU,T
Sapotaceae,Micropholis,melinoniana,,,MICRME,T
Sapotaceae,Micropholis,venulosa,,,MICRVE,NA
Asteraceae,Mikania,guaco,NA,NA,MIKAGU,LIANA
Asteraceae,Mikania,hookeriana,NA,NA,MIKAHO,LIANA
Asteraceae,Mikania,leiostachya,Benth.,MIKL,MIKALE,VINE
Asteraceae,Mikania,micrantha,NA,NA,MIKAMI,LIANA
Asteraceae,Mikania,tonduzii,B.L. Rob.,MIKT,MIKATO,VINE
Fabaceae:Mimos.,Mimosa,tenuiflora,,,MIMOTE,NA
Sapotaceae,Mimusops,elengi,,,MIMUEL,M
Olacaceae,Minquartia,guianensis,,,MINQGU,T
Monimiaceae,Mollinedia,darienensis,Standl.,MOLD,MOLLDA,U
Monimiaceae,Mollinedia,pinchotiana,,,MOLLPI,U
Cucurbitaceae,Momordica,charantia,NA,NA,MOMOCH,LIANA
Myricaceae,Morella,cerifera,,,MYR1ME,NA
Rubiaceae,Morinda,citrifolia,,,MORICI,NA
Rubiaceae,Morinda,panamensis,,,MORIPA,NA
Capparaceae,Morisonia,americana,,,MOR1AM,NA
Tiliaceae,Mortoniodendron,anisophyllum,(Standl.) Standl. & Steyerm.,MORA,MORTAN,U
Tiliaceae,Mortoniodendron,sp.1,NA,NA,MORT1,NA
Annonaceae,Mosannona,garwoodii,Chatrou & Welzenis,CRES,MALMSP,M
Anacardiaceae,Mosquitoxylum,jamaicense,Krug & Urb.,MOSJ,MOSQJA,T
Melastomataceae,Mouriri,coba,,,MOUR1,NA
Melastomataceae,Mouriri,aff.exilis,,,MOUREX,NA
Melastomataceae,Mouriri,gleasoniana,,,MOURGL,NA
Melastomataceae,Mouriri,myrtilloides,(Sw.) Poir.,MOUM,MOURMY,S
Melastomataceae,Mouriri,panamensis,,,MOURPA,U
Fabaceae:faboid.,Mucuna,mutisiana,(Kunth) DC.,MUCM,MUCUMU,VINE
Fabaceae,Mucuna,rostrata,NA,NA,MUCURO,LIANA
Tiliaceae,Muntingia,calabura,L.,MUNC,MUNTCA,U
Myrtaceae,Myrcia,coumeta,,,MYRCCO,NA
Myrtaceae,Myrcia,fosteri,Croat,MYR1,MYRCFO,U
Myrtaceae,Myrcia,gatunensis,Standl.,MYRG,MYRCGA,U
Myrtaceae,Myrcia,sp.3,NA,NA,MYRC3,NA
Myrtaceae,Myrcia,sp.4,NA,NA,MYRC4,NA
Myrtaceae,Myrcia,sp.5,NA,NA,MYRC5,NA
Myrtaceae,Myrcia,sp.6,NA,NA,MYRC6,NA
Myrtaceae,Myrciaria,floribunda,(H. West ex Willd.) O. Berg,MYRF,MYR2FL,NA
Myrtaceae,Myrciaria,sp.1,NA,NA,MYR21,NA
Myrtaceae,Myrciaria,sp.2,NA,NA,MYR22,NA
Urticaceae,Myriocarpa,longipes,Liebm.,MYRY,MYRILO,U
Fabaceae:Papil.,Myrospermum,frutescens,Jacq.,MYR2,MYROFR,LIANA
Fabaceae:Papil.,Myroxylum,balsamum,,,MYR3BA,NA
Myrsinaceae,Myrsine,coriacea,,,MYRSCO,NA
Myrsinaceae,Myrsine,cubana,,,MYRSCU,NA
Myrsinaceae,Myrsine,sp.1,NA,NA,MYRS1,NA
Moraceae,Naucleopsis,capirensis,,,NAUCCA,NA
Moraceae,Naucleopsis,naga,,,NAUCNA,NA
Moraceae,Naucleopsis,straminea,,,NAUCST,NA
Moraceae,Naucleopsis,ulei,,,NAUCUL,NA
Lauraceae,Nectandra,fuzzy,NA,NA,NECTS1,T
Lauraceae,Nectandra,bicolor,,,NECTBI,NA
Lauraceae,Nectandra,cissiflora,Nees,NECC,NECTCI,T
Lauraceae,Nectandra,cuspidata,Nees & Mart.,NEC2,NECTCU,U
Lauraceae,Nectandra,lineata,(Kunth) Rohwer,NECL,NECTGL,M
Lauraceae,Nectandra,martinicensis,,,NECTMA,S
Lauraceae,Nectandra,purpurea,(Ruiz & Pav.) Mez,NECP,NECTPU,M
Lauraceae,Nectandra,sp.11,NA,NA,NECT11,NA
Lauraceae,Nectandra,sp.12,NA,NA,NECT12,NA
Lauraceae,Nectandra,sp.3,NA,NA,NECT3,NA
Lauraceae,Nectandra,sp.4_(tiny_leaf),,,NECTS3,NA
Lauraceae,Nectandra,sp.9,NA,NA,NECT9,NA
Lauraceae,Nectandra,umbrosa,(Kunth) Mez,NECU,NECTUM,M
Nyctaginaceae,Neea,roja,,,NEEA6,NA
Nyctaginaceae,Neea,amplifolia,Donn. Sm.,NEEA,NEEAAM,S
Nyctaginaceae,Neea,delicatula,,,NEEADE,U
Nyctaginaceae,Neea,sp.1,NA,NA,NEEA1,NA
Nyctaginaceae,Neea,sp.2,NA,NA,NEEA2,NA
Nyctaginaceae,Neea,sp.3,NA,NA,NEEA3,NA
Nyctaginaceae,Neea,sp.4,NA,NA,NEEA4,NA
Nyctaginaceae,Neea,sp.7,NA,NA,NEEA7,NA
Bombacaceae,Ochroma,pyramidale,(Cav. ex Lam.) Urb.,OCHP,OCHRPY,M
Lauraceae,Ocotea,arcuata,,,OCOTAR,U
Lauraceae,Ocotea,atirrensis,,,OCOTPA,NA
Lauraceae,Ocotea,cernua,(Nees) Mez,OCOC,OCOTCE,M
Lauraceae,Ocotea,dendrodaphne,Mez,OCOD,OCOTDE,M
Lauraceae,Ocotea,endresiana,,,OCOTEN,NA
Lauraceae,Ocotea,hartshorniana,,,OCOTHA,NA
Lauraceae,Ocotea,insularis,(Meisn.) Mez,OCOI,OCOTIR,NA
Lauraceae,Ocotea,jorge-escobarii,,,OCOTJO,NA
Lauraceae,Ocotea,leucoxylon,,,OCOTLE,NA
Lauraceae,Ocotea,meziana,,,OCOTME,NA
Lauraceae,Ocotea,oblonga,(Meisn.) Mez,OCOO,OCOTOB,T
Lauraceae,Ocotea,puberula,Nees,OCOP,OCOTPU,T
Lauraceae,Ocotea,rubrinervis,,,OCOTRU,S
Lauraceae,Ocotea,sp.13,NA,NA,OCOT13,NA
Lauraceae,Ocotea,sp.14,NA,NA,OCOT14,NA
Lauraceae,Ocotea,sp.17,NA,NA,OCOT17,NA
Lauraceae,Ocotea,sp.18,NA,NA,OCOT18,NA
Lauraceae,Ocotea,sp.19,NA,NA,OCOT19,NA
Lauraceae,Ocotea,sp.5,NA,NA,OCOT5,NA
Lauraceae,Ocotea,sp.6,NA,NA,OCOT6,NA
Lauraceae,Ocotea,sp.7,NA,NA,OCOT7,NA
Lauraceae,Ocotea,sp.8,NA,NA,OCOT8,NA
Lauraceae,Ocotea,sp.9,NA,NA,OCOT9,NA
Lauraceae,Ocotea,tonduzii,,,OCOTTO,NA
Lauraceae,Ocotea,veraguensis,,,OCOTVE,NA
Lauraceae,Ocotea,whitei,Woodson,OCOS,OCOTWH,T
Apocynaceae,Odontadenia,macrantha,(Roem. & Schult.) Markgr.,ODOM,ODO1MA,LIANA
Apocynaceae,Odontadenia,puncticulosa,(Rich.) Pulle,ODOP,ODO1PU,LIANA
Menispermaceae,Odontocarya,1,NA,NA,ODO21,LIANA
Menispermaceae,Odontocarya,tamoides,(DC.) Miers,ODO1,ODO2TA,VINE
Menispermaceae,Odontocarya,truncata,Standl.,ODO2,ODO2TR,VINE
Arecaceae,Oenocarpus,mapora,H. Karst.,OENM,OENOMA,M
Euphorbiaceae,Omphalea,diandra,L.,OMPD,OMPHDI,LIANA
Cactaceae,Opuntia,elatior,,,OPUNEL,NA
Araliaceae,Oreopanax,sp.2,NA,NA,OREO2,NA
Fabaceae:Papil.,Ormosia,amazonica,Ducke,ORMA,ORMOAM,T
Fabaceae:Papil.,Ormosia,coccinea,,ORMC,ORMOCR,T
Fabaceae:Papil.,Ormosia,macrocalyx,Ducke,ORMM,ORMOMA,T
Melastomataceae,Ossaea,spicata,,,OSSASP,S
Myristicaceae,Osteophloeum,platyspermum,,,OSTEPL,T
Myristicaceae,Otoba,acuminata,,,OTOBAC,M
Myristicaceae,Otoba,latialata,,,OTOBLA,NA
Myristicaceae,Otoba,novogranatensis,,,OTOBNO,NA
Myristicaceae,Otoba,parvifolia,,,OTOBPA,NA
Ochnaceae,Ouratea,knappiae,,,OURAKN,U
Ochnaceae,Ouratea,lucens,(Kunth) Engl.,OURL,OURALU,S
Ochnaceae,Ouratea,prominens,,,OURACO,NA
Ochnaceae,Ouratea,sulcatinervia,,,OURASU,S
Annonaceae,Oxandra,longipetala,R.E. Fr.,OXAL,OXANLO,U
Annonaceae,Oxandra,panamensis,,,OXANPA,U
Annonaceae,Oxandra,venezuelana,,,OXANVE,NA
Bombacaceae,Pachira,aquatica,,,POCHAQ,M
Bombacaceae,Pachira,quinata,(Jacq.) W.S. Alverson,BOMQ,POCHQU,T
Bombacaceae,Pachira,sessilis,Benth.,BOMS,POCHSE,T
Rubiaceae,Palicourea,crocea,NA,NA,PALICR,NA
Rubiaceae,Palicourea,guianensis,Aubl.,PALG,PALIGU,S
Rubiaceae,Palicourea,triphylla,,,PALITR,S
Rubiaceae,Palicourea,tubuliflora,,,PALITU,NA
Proteaceae,Panopsis,suaveolens,,,PANOSU,M
Bignoniaceae,Paragonia,pyramidata,(Rich.) Bureau,PARP,PAR1PY,LIANA
Myrsinaceae,Parathesis,amplifolia,,,PAR2AM,M
Myrsinaceae,Parathesis,microcalyx,Donn. Sm.,PARM,PAR2MI,NA
Myrsinaceae,Parathesis,sp.1,NA,NA,PAR21,NA
Chrysobalanaceae,Parinari,chocoensis,,,PARICH,NA
Fabaceae:Mimos.,Parkia,nitida,,,PARKNI,NA
Fabaceae:Caesal.,Parkinsonia,aculeata,,,PAR1AC,NA
Bignoniaceae,Parmentiera,cereifera,,,PARMCE,M
Bignoniaceae,Parmentiera,macrophylla,,,PARMMA,M
Passifloraceae,Passiflora,ambigua,Hemsl.,PAS1,PASSAM,VINE
Passifloraceae,Passiflora,auriculata,NA,NA,PASSAU,LIANA
Passifloriaceae,Passiflora,biflora,NA,NA,PASSBI,LIANA
Passifloraceae,Passiflora,nitida,Kunth,PASN,PASSNI,VINE
Passifloraceae,Passiflora,seemannii,Griseb.,PASS,PASSSE,VINE
Passifloriaceae,Passiflora,vitifolia,Kunth,PASV,PASSVI,VINE
Sapindaceae,Paullinia,baileyi,Standl.,PAU1,PAULBA,LIANA
Sapindaceae,Paullinia,bracteosa,Radlk.,PAU2,PAULBR,LIANA
Sapindaceae,Paullinia,fibrigera,Radlk.,PAUF,PAULFI,LIANA
Sapindaceae,Paullinia,fuscescens,Kunth,PAU3,PAULFU,LIANA
Sapindaceae,Paullinia,glabrata,NA,NA,PAULG1,LIANA
